atc,name,dc_id,dm_id,ids_annotations,dc_annotations,id,cuis_dc,cuis_ids,cuis_overlap,cuis_overlap_c,terms_dc,cuis_ids_context,cuis_ids_indications,cuis_overlap_ind,cuis_ids_indications_nic,ids_umls,dc_umls,overlap_umls,overlap_umls_context,ids_context
C03XA02,conivaptan                                                                                                                                                                                                                                                ,732,5150d9d9-01dc-4a52-9858-214c66d8caea                                                                                                                                                                                                                      ,"DB00872,lable","Hyponatremia,C0020625,|",1709,1,0,0,0,1,0,0,0,0,,C0020625,,,
C01BA01,quinidine                                                                                                                                                                                                                                                 ,2346,a08a0f0b-6cf5-4fa4-a861-0b054d6fddfc                                                                                                                                                                                                                      ,"DB00908,label|UMLS_CUI:C0750197,indication,SYM,confirmed|UMLS_CUI:C0085612,indication,DM,confirmed|DOID_0060224,UMLS_CUI:C0004238,indication,DM,confirmed","Atrial fibrillation,C0004238,DOID:0060224|Malaria,C0024530,DOID:12365|Life-Threatening Ventricular Tachycardia,,|Pseudobulbar affect,C2316460,|Cardioversion of Atrial Fibrillation,,|",1694,3,3,1,0,5,0,3,1,3,"C0750197,C0085612,C0004238","C0004238,C0024530,C2316460",C0004238,,
C04AX02,phenoxybenzamine                                                                                                                                                                                                                                          ,2136,29ddb739-0f8e-4c41-ab4b-a6331ae2d508                                                                                                                                                                                                                      ,"DB00925,label|UMLS_CUI:C0020458,UMLS_CUI:C0235848,UMLS_CUI:C0392162,UMLS_CUI:C0542230,UMLS_CUI:C0038986,UMLS_CUI:C0700590,UMLS_CUI:C0028081,UMLS_CUI:C0038990,UMLS_CUI:C0235967,indication,SYM,confirmed|UMLS_CUI:C4017161,UMLS_CUI:C1837915,UMLS_CUI:C0019562,UMLS_CUI:C0031511,UMLS_CUI:C0694897,UMLS_CUI:C4017160,UMLS_CUI:C0032584,UMLS_CUI:C0153405,UMLS_CUI:C0023798,UMLS_CUI:C0020507,UMLS_CUI:C0027819,indication,DM,confirmed|DOID_10763,UMLS_CUI:C0020538,indication,confirmed,SYM","Pheochromocytoma,C0031511,|",1714,1,21,1,0,1,0,21,1,21,"C0020458,C0235848,C0392162,C0542230,C0038986,C0700590,C0028081,C0038990,C0235967,C4017161,C1837915,C0019562,C0031511,C0694897,C4017160,C0032584,C0153405,C0023798,C0020507,C0027819,C0020538",C0031511,C0031511,,
C10AC04,colesevelam                                                                                                                                                                                                                                               ,4405,4a06d3b2-7229-4398-baba-5d0a72f63821                                                                                                                                                                                                                      ,"DB00930,label|DOID_9351,UMLS_CUI:C0011849,rejected|DOID_3393,UMLS_CUI:C0264694,UMLS_CUI:C0151744,UMLS_CUI:C0010054,UMLS_CUI:C0010068,rejected|DOID_9352,UMLS_CUI:C0011860,indication,DM,confirmed|DOID_1837,UMLS_CUI:C0011880,contraindication|DOID_13810,UMLS_CUI:C0020445,indication,DM,confirmed","Hypercholesterolemia,C0020443,|Type 2 Diabetes Mellitus Treatment Adjunct,,|",1680,1,8,0,0,2,6,2,0,2,"C0011849,C0264694,C0151744,C0010054,C0010068,C0011860,C0011880,C0020445",C0020443,,,"C0011849,C0264694,C0151744,C0010054,C0010068,C0011880"
C07AA03,pindolol                                                                                                                                                                                                                                                  ,2176,05dfb38c-b832-4ae0-b28b-d271008e670b                                                                                                                                                                                                                      ,"DB00960,label|DOID_10763,UMLS_CUI:C0020538,indication,DM,confirmed","Hypertensive disorder,C0020538,DOID:10763|",1719,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C01EB21,regadenoson                                                                                                                                                                                                                                               ,2362,057289f4-2e18-4c1e-bed4-6c1858e2ef16                                                                                                                                                                                                                      ,"DB06213,label","Myocardial Perfusion Imaging Adjunct,,|",1664,0,0,0,0,1,0,0,0,0,,,,,
L01XX32,bortezomib                                                                                                                                                                                                                                                ,391,1521d321-e724-4ffc-adad-34bf4f44fac7                                                                                                                                                                                                                      ,"DOID_0050746,indication,DM|DOID_9538,UMLS_CUI:C0026764,indication,DM|label,DB00188","Multiple myeloma,C0026764,DOID:9538|Mantle cell lymphoma,C0334634,|",1798,2,1,1,0,2,0,1,1,1,C0026764,"C0026764,C0334634",C0026764,,
C07AA07,sotalol                                                                                                                                                                                                                                                   ,2464,6616d1a2-09a6-429c-8d19-0ac6354980bb                                                                                                                                                                                                                      ,"DOID_0060224|label,DB00489","Atrial fibrillation,C0004238,DOID:0060224|Life-Threatening Ventricular Tachycardia,,|",1721,1,0,0,0,2,0,0,0,0,,C0004238,,,
C01CA07,dobutamine                                                                                                                                                                                                                                                ,937,cb842dc2-fb15-48f9-e4b1-ea4280db0199                                                                                                                                                                                                                      ,"DOID_0060224,lable|DOID_114,lable|DB00841,label","Cardiac Decompensation Post Cardiac Surgery,,|Cardiogenic shock,C0036980,|Decompensated cardiac failure,C0581377,|Organic Cardiac Disease,,|Cardiac Decompensation,,|",1657,2,0,0,0,5,0,0,0,0,,"C0036980,C0581377",,,
C02DD01,nitroprusside                                                                                                                                                                                                                                             ,4631,6a44bcac-a0e1-4069-5691-db7b83dbb4b7                                                                                                                                                                                                                      ,"DOID_10763,indication,confirmed|DOID:395,UMLS_CUI:C0018801,DM,confirmed,indication|label,DB00325|DOID:395,UMLS_CUI:C0018801","Hypertensive urgency,C0745138,|Decompensated cardiac failure,C0581377,|Controlled Hypotension,,|Hypertensive disorder,C0020538,DOID:10763|Malignant essential hypertension,C0024588,DOID:10823|",1683,4,1,0,0,5,1,1,0,0,C0018801,"C0745138,C0581377,C0020538,C0024588",,,C0018801
C03AA05,polythiazide                                                                                                                                                                                                                                              ,2228,17367e1c-a4ad-451b-92c4-95565312e51a                                                                                                                                                                                                                      ,"DOID_10763,indication,confirmed,UMLS_CUI:C0020538|label,DB01324","Hypertensive disorder,C0020538,DOID:10763|",1699,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C02CA01,prazosin                                                                                                                                                                                                                                                  ,4209,17367e1c-a4ad-451b-92c4-95565312e51a                                                                                                                                                                                                                      ,"DOID_10763,indication,confirmed,UMLS_CUI:C0020538|label,DB01324","Hypertensive disorder,C0020538,DOID:10763|",1669,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C08CA07,nisoldipine                                                                                                                                                                                                                                               ,1942,00d506a4-74d6-4838-b008-3f9e7c017e08                                                                                                                                                                                                                      ,"DOID_10763,indication,DM|DB00401,label","Hypertensive disorder,C0020538,DOID:10763|",1734,1,0,0,0,1,0,0,0,0,,C0020538,,,
C09CA06,candesartan                                                                                                                                                                                                                                               ,475,14622dfc-87a8-00cf-b150-c642fb67ce35                                                                                                                                                                                                                      ,"DOID_10763,lable|DB00796,lable","Hypertensive disorder,C0020538,DOID:10763|Chronic heart failure,C0264716,|",1689,2,0,0,0,2,0,0,0,0,,"C0020538,C0264716",,,
C01CA19,fenoldopam                                                                                                                                                                                                                                                ,1153,df4cd207-c3b8-4008-5290-02f296c2b4a6                                                                                                                                                                                                                      ,"DOID_10763,lable|DB00800,lable","Hypertensive urgency,C0745138,|Malignant essential hypertension,C0024588,DOID:10823|",1659,2,0,0,0,2,0,0,0,0,,"C0745138,C0024588",,,
C09CA02,eprosartan                                                                                                                                                                                                                                                ,1037,64fbc500-3b77-4c9c-8576-b3ec5f6655a5                                                                                                                                                                                                                      ,"DOID_10763,lable|DB00876,lable","Hypertensive disorder,C0020538,DOID:10763|",1743,1,0,0,0,1,0,0,0,0,,C0020538,,,
C02AC02,guanfacine                                                                                                                                                                                                                                                ,1343,6fdcebac-0a5a-4858-b0e6-87f77ba53bf1                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,DM,confirmed|label,DB01018","Hypertensive disorder,C0020538,DOID:10763|Attention deficit hyperactivity disorder,C1263846,|",1667,2,1,1,0,2,0,1,1,1,C0020538,"C0020538,C1263846",C0020538,,
C09AA01,captopril                                                                                                                                                                                                                                                 ,484,d826812e-ede7-49e7-8384-29ec5b142ef3                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,SYM|label,DB01197","Left ventricular cardiac dysfunction,C1997351,|Chronic heart failure,C0264716,|Hypertensive disorder,C0020538,DOID:10763|Diabetic renal disease,C0011881,|",1736,4,1,1,0,4,0,1,1,1,C0020538,"C1997351,C0264716,C0020538,C0011881",C0020538,,
C03AA01,bendroflumethiazide                                                                                                                                                                                                                                       ,305,d2d226ea-1624-47ee-82bf-e9660b75029f                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,SYM|label,DB01203","Hypertensive disorder,C0020538,DOID:10763|",1673,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C07AA12,nadolol                                                                                                                                                                                                                                                   ,1865,d2d226ea-1624-47ee-82bf-e9660b75029f                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,SYM|label,DB01203","Angina pectoris,C0002962,|Hypertensive disorder,C0020538,DOID:10763|",1722,2,1,1,0,2,0,1,1,1,C0020538,"C0002962,C0020538",C0020538,,
C09DA09,azilsartan medoxomil and diuretics                                                                                                                                                                                                                        ,4322,b2d6e17b-f14a-463b-a662-03c9387c63dd                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,SYM|label,DB08822","Hypertensive disorder,C0020538,DOID:10763|",1756,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C09CA09,azilsartan medoxomil                                                                                                                                                                                                                                      ,4322,b2d6e17b-f14a-463b-a662-03c9387c63dd                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,SYM|label,DB08822","Hypertensive disorder,C0020538,DOID:10763|",1679,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C09XA02,aliskiren                                                                                                                                                                                                                                                 ,119,3dd61fa5-1620-4ebf-bbdb-ede29b92fce2                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,indication,SYM|label,DB09026","Hypertensive disorder,C0020538,DOID:10763|",1748,1,1,1,0,1,0,1,1,1,C0020538,C0020538,C0020538,,
C03DA04,eplerenone                                                                                                                                                                                                                                                ,1032,59e27acd-3877-babf-341b-b65968a8a607                                                                                                                                                                                                                      ,"DOID_10763,UMLS_CUI:C0020538,SYM,indication|DOID_6000,UMLS_CUI:C0018801,UMLS_CUI:C0018802,DM,indication|target:UMLS_CUI:C0018801,target:DOID_6000,role:context,UMLS_CUI:C1277187,target:UMLS_CUI:C0018802|target:UMLS_CUI:C0018801,target:UMLS_CUI:C0018802,target:DOID_6000,role:context,UMLS_CUI:C0155626|","Hypertensive disorder,C0020538,DOID:10763|Chronic Heart Failure Following Myocardial Infarction,,|",1705,1,5,1,0,2,2,3,1,3,"C0020538,C0018801,C0018802,C1277187,C0155626",C0020538,C0020538,,"C1277187,C0155626"
C02DB02,hydralazine                                                                                                                                                                                                                                               ,1384,e31239e0-8c5a-4d10-9404-af32278484a3                                                                                                                                                                                                                      ,"DOID_10825,UMLS_CUI:C0085580,indication,DM|label,DB01275","Chronic heart failure,C0264716,|Hypertensive disorder,C0020538,DOID:10763|",1672,2,1,0,0,2,0,1,0,1,C0085580,"C0264716,C0020538",,,
C03DA01,spironolactone                                                                                                                                                                                                                                            ,2475,a7510768-8a52-4230-6aa0-b0d92d82588f                                                                                                                                                                                                                      ,"DOID_1184,UMLS_CUI:C0027726,indication,confirmed|DOID_10825,indication,confirmed,UMLS_CUI:C0085580|DOID_4500,indication,confirmed,UMLS_CUI:C1514284|C0013608,indication,confirmed|DOID_5082,UMLS_CUI:C0023890,indication,confirmed|DOID_6000,UMLS_CUI:C0018802,indication,confirmed|DOID_12028,UMLS_CUI:C1384514,indication,confirmed|DB00421,label","Pulmonary Edema due to Chronic Heart Failure,,|Hypokalemia Prevention,,|Hypertensive disorder,C0020538,DOID:10763|Ascites,C0003962,|Edema due to Nephrotic Syndrome,,|Edema,C0013604,|Peripheral Edema due to Chronic Heart Failure,,|Diagnostic Test for Primary Aldosteronism,,|Edema due to Hepatic Cirrhosis,,|Chronic heart failure,C0264716,|Aldosteronism,C0020428,DOID:446|",1704,5,7,0,0,11,0,7,0,7,"C0027726,C0085580,C1514284,C0013608,C0023890,C0018802,C1384514","C0020538,C0003962,C0013604,C0264716,C0020428",,,
C10AA02,lovastatin                                                                                                                                                                                                                                                ,1612,a694c480-76f3-42c3-bb67-bed50e12c1ae                                                                                                                                                                                                                      ,"DOID_13810,UMLS_CUI:C0020445,indication,confirmed|DOID_8805,UMLS_CUI:C0002965,indication,confirmed|DOID_5844,indication,confirmed,UMLS_CUI:C0027051|UMLS_CUI: C0342879,indication,confirmed|UMLS_CUI:C0020443,indication,confirmed|DOID_3393,indication,confirmed,UMLS_CUI:C0010068|DB00227,label","Familial hypercholesterolemia - heterozygous,C0342882,|Hyperlipidemia,C0020473,DOID:1168|Hypercholesterolemia,C0020443,|Hypoalphalipoproteinemia,C0473527,|Slow Progression of Coronary Artery Disease,,|Mixed hyperlipidemia,C0020474,|Hypertriglyceridemia,C0020557,|Arteriosclerotic vascular disease,C0003850,DOID:2349|Myocardial Infarction Prevention,,|Myocardial Reinfarction Prevention,,|Primary Prevention of Coronary Heart Disease,,|",1750,7,6,1,0,11,0,6,1,6,"C0020445,C0002965,C0027051, C0342879,C0020443,C0010068","C0342882,C0020473,C0020443,C0473527,C0020474,C0020557,C0003850",C0020443,,
L01BA01,methotrexate                                                                                                                                                                                                                                              ,1751,ec476b11-0b3c-4139-b1eb-a3daa76bc271                                                                                                                                                                                                                      ,"DOID_14566,indication,DM|UMLS_CUI:C0311221,indication,SYM|DOID_7148,UMLS_CUI:C0003873,indication,DM|DOID_8893,UMLS_CUI:C0033860,indication,SYM|target:DOID_3356,target:UMLS_CUI:C0278511,role:co-therapies,UMLS_CUI:C0374079|DOID_3356,UMLS_CUI:C0278511,indication,AT|target:DOID_0060060,target:UMLS_CUI:C0024305,role:co-prescribed medications,UMLS_CUI:C0729502|DOID_0060060,UMLS_CUI:C0024305,indication,AT|DOID_1324,UMLS_CUI:C0242379,UMLS_CUI:C0684249,indication,DM|DOID_8691,UMLS_CUI:C0026948,indication,DM|DOID_5520,UMLS_CUI:C1168401,indication,DM|DOID_1612,UMLS_CUI:C0006142,UMLS_CUI:C1458155,UMLS_CUI:C0153555,indication,DM|UMLS_CUI:C0677908,indication,DM|UMLS_CUI:C0948840,indication,DM|DOID_9952,UMLS_CUI:C0023449,indication,DM|UMLS_CUI:C0008493,indication,DM|UMLS_CUI:C1396879,indication,DM|DOID_2025,UMLS_CUI:C0349557,indication,DM|label,DB00563","Psoriasis,C0033860,DOID:8893|Carcinoma of female breast,C3163805,|Malignant tumor of head and/or neck,C0278996,|Juvenile rheumatoid arthritis,C3495559,|Gestational trophoblastic neoplasia,C1135868,DOID:3590|Mycosis fungoides,C0026948,DOID:8691|Non-Hodgkins lymphoma,C0024305,DOID:8675|Meningeal Leukemia,,|Acute lymphoid leukemia, disease,C0023449,DOID:9952|Malignant tumor of lung,C0242379,|Burkitts lymphoma,C0006413,DOID:8584|Rheumatoid arthritis,C0003873,DOID:7148|Osteosarcoma of bone,C0585442,DOID:3376,DOID:3347|",1767,12,20,6,0,13,2,18,6,18,"C0311221,C0003873,C0033860,C0374079,C0278511,C0729502,C0024305,C0242379,C0684249,C0026948,C1168401,C0006142,C1458155,C0153555,C0677908,C0948840,C0023449,C0008493,C1396879,C0349557","C0033860,C3163805,C0278996,C3495559,C1135868,C0026948,C0024305,C0023449,C0242379,C0006413,C0003873,C0585442","C0033860,C0026948,C0024305,C0023449,C0242379,C0003873",,"C0374079,C0729502"
C04AE01,ergoloid mesylates                                                                                                                                                                                                                                        ,5035,cf973160-d467-4192-a432-04c8c2140369                                                                                                                                                                                                                      ,"DOID_1561,UMLS_CUI:C0154319,SYM|label,DB01049","Dementia,C0497327,|",1690,1,1,0,0,1,1,0,0,0,C0154319,C0497327,,,C0154319
L01XC07,bevacizumab                                                                                                                                                                                                                                               ,4956,939b5d1f-9fb2-4499-80ef-0607aa6b114e                                                                                                                                                                                                                      ,"DOID_1791,UMLS_CUI:C1514428,indication,AT|UMLS_CUI:C3897738,indication,AT|UMLS_CUI:C0278689,indication,AT|target:UMLS_CUI:C0302592,role:co-prescribed medications,DB01229,DB01030|target:UMLS_CUI:C0302592,role:co-prescribed medications,DB01229,DB00515|UMLS_CUI:C0302592,indication,AT,DOID_2893|target:UMLS_CUI:C0278678,role:co-prescribed medications,UMLS_CUI:C0002199|UMLS_CUI:C0278678,indication,AT|UMLS_CUI:C0017636,indication,DM|target:UMLS_CUI:C4083276,role:co-prescribed medications,DB01229|target:UMLS_CUI:C4083276,role:co-prescribed medications,DB00958|UMLS_CUI:C4083276,indication,AT|target:UMLS_CUI:C0948380,role:co-prescribed medications,DB00526|target:UMLS_CUI:C0948380,role:co-prescribed medications,DB00544|target:UMLS_CUI:C0948380,role:co-prescribed medications,DB00762|UMLS_CUI:C0948380,indication,AT|label,DB00112","Secondary malignant neoplasm of colon,C0346974,|Nonsquamous nonsmall cell neoplasm of lung,C2585890,|Glioblastoma multiforme,C1621958,|Metastatic renal cell carcinoma,C0278678,|Carcinoma of cervix,C0302592,DOID:2893|Malignant tumor of peritoneum,C0153467,|Malignant epithelial tumor of ovary,C0346161,|Malignant tumor of fallopian tube,C0153579,DOID:1964|",1757,8,9,2,0,8,1,8,2,8,"C1514428,C3897738,C0278689,C0302592,C0002199,C0278678,C0017636,C4083276,C0948380","C0346974,C2585890,C1621958,C0278678,C0302592,C0153467,C0346161,C0153579","C0278678,C0302592",,C0002199
C04AD03,pentoxifylline                                                                                                                                                                                                                                            ,2099,40ae2d9a-0d95-640d-0640-f76e7e1a13cb                                                                                                                                                                                                                      ,"DOID_341,lable|DB00806,lable","Peripheral vascular disease,C0085096,|",1713,1,0,0,0,1,0,0,0,0,,C0085096,,,
C02AA02,reserpine                                                                                                                                                                                                                                                 ,2370,3a4d74d7-2e63-4789-b50e-af17ced92462                                                                                                                                                                                                                      ,"DOID_5419,indication,confirmed,SYM,UMLS_CUI:C0029838|DOID_10763,indication,confirmed,UMLS_CUI:C0020538|DOID_10825,label,UMLS_CUI:C0085580,confirmed|DB00206,label","Psychotic disorder,C0033975,|Hypertensive disorder,C0020538,DOID:10763|",1665,2,3,1,0,2,1,2,1,2,"C0029838,C0020538,C0085580","C0033975,C0020538",C0020538,,C0085580
C08CA02,felodipine                                                                                                                                                                                                                                                ,1142,0f854e5d-35a8-9c1f-63e7-c727ec573de9                                                                                                                                                                                                                      ,"DOID_557,contraindication|DOID_5844,UMLS_CUI:C0027051,indication,DM,confirmed|DOID_6713,UMLS_CUI:C0007820,UMLS_CUI:C0038454,indication,DM,confirmed|DOID_10763,UMLS_CUI:C0020538,indication,DM,confirmed|label,DB01023","Hypertensive disorder,C0020538,DOID:10763|",1730,1,4,1,0,1,0,4,1,4,"C0027051,C0007820,C0038454,C0020538",C0020538,C0020538,,
C09CA07,telmisartan                                                                                                                                                                                                                                               ,2583,e1a907a7-fad9-a860-8639-4c6136c85734                                                                                                                                                                                                                      ,"DOID_557,UMLS_CUI:C0022658,contraindication|DOID_5844,UMLS_CUI:C0027051,indication,SYM,confirmed|DOID_6713,UMLS_CUI:C0038454,indication,SYM,confirmed|DOID_10763,UMLS_CUI:C0020538,indication,DM,confirmed|label,DB00966","Hypertensive disorder,C0020538,DOID:10763|Cerebrovascular accident,C0038454,DOID:6713|Myocardial Infarction Prevention,,|",1746,2,4,2,0,3,1,3,2,3,"C0022658,C0027051,C0038454,C0020538","C0020538,C0038454","C0020538,C0038454",,C0022658
C09AA06,quinapril                                                                                                                                                                                                                                                 ,2340,93e6e668-5306-4f26-81d8-cbc3a7a5e787                                                                                                                                                                                                                      ,"DOID_5844,UMLS_CUI:C0027051,lable|DOID_557,UMLS_CUI:C0022658,lable|DOID_12987,UMLS_CUI:C0001824,lable|DOID_178,lable|DOID_1558,lable|DOID_10763,lable|DB00881,lable","Hypertensive disorder,C0020538,DOID:10763|Chronic heart failure,C0264716,|",1740,2,3,0,0,2,3,0,0,0,"C0027051,C0022658,C0001824","C0020538,C0264716",,,"C0027051,C0022658,C0001824"
C03BA11,indapamide                                                                                                                                                                                                                                                ,1433,fdb20d31-bd0f-4022-84cc-5db97862a7cf                                                                                                                                                                                                                      ,"DOID_6000,lable|DOID_10763,lable|DB00808,lable","Hypertensive disorder,C0020538,DOID:10763|Edema,C0013604,|",1702,2,0,0,0,2,0,0,0,0,,"C0020538,C0013604",,,
